Indicador,alpha,delta,Fitness
Mejor (Fitness),9.999999944604236,4.40693601177915e-09,0.08475312330924291
Peor (Fitness),9.999974716116823,9.172273469447981e-07,0.08475357824506924
Media,9.999994552456782,1.9938465274216142e-07,0.08475322051610445
Desv. Estándar,9.936145410481515e-06,3.5979448210922413e-07,1.7923675939099346e-07
