Indicador,x1,x2,Fitness
Mejor,1.1591687936141418e-13,8.926653583936281e-13,-6.84574278505749
Media,1.9081770333440957e-15,9.944342251380558e-15,-0.7995530614802158
Peor,2.0132764647606455e-17,3.008062982157184e-15,-0.0
Desv. estándar,,,0.6065619926357386
