Indicador,alpha,delta,Fitness
Mejor (Fitness),0.43190209232491317,0.879750939730166,-6.845742785057491
Peor (Fitness),3.913134846525591e-12,3.4748755443199758e-12,-6.84574278505749
Media,0.15792677955640583,0.31481503478127165,-6.845742785057491
Desv. Estándar,0.19483691820690932,0.39000136602160496,6.879800455918813e-16
