Indicador,alpha,delta,Fitness
Mejor (Fitness),8.670172653745347,0.4801434099155808,-4.128421621722379
Peor (Fitness),8.670172653745347,0.4801434099155808,-4.128421621722379
Media,6.76981282498416,0.5513025841800928,-4.128421621722379
Desv. Estándar,2.8872191116801074,0.22666653132708584,0.0
