Indicador,alpha,delta,Fitness
Mejor (Fitness),9.999999999991765,2.025369310234141e-11,-0.1953755630183538
Peor (Fitness),9.99999791010916,2.294978410842682e-07,-0.1953755441632485
Media,9.999999576334352,4.667185979901254e-08,-0.19537555919181085
Desv. Estándar,8.331341162449261e-07,9.141498813383251e-08,7.514442465108419e-09
