Indicador,x1,x2,Fitness
Mejor,9.999999974245302,1.5243047160420746e-08,-0.19537556238614473
Media,9.999999992417367,3.427696705436746e-08,-0.1953755618716287
Peor,9.999999998699469,4.645078443242757e-08,-0.19537556151328841
Desv. estándar,,,2.03487129213777e-10
