Generacion,Mejor alpha,Mejor delta,Mejor Fitness
1,7.6865653224049275,0.6729762862507457,-4.128421621722379
2,3.577499038741549,0.518992849241274,-4.128421621722379
3,3.577499038741549,0.518992849241274,-4.128421621722379
4,3.577499038741549,0.518992849241274,-4.128421621722379
5,3.577499038741549,0.518992849241274,-4.128421621722379
6,3.577499038741549,0.518992849241274,-4.128421621722379
7,3.577499038741549,0.518992849241274,-4.128421621722379
8,3.577499038741549,0.518992849241274,-4.128421621722379
9,3.577499038741549,0.518992849241274,-4.128421621722379
10,3.577499038741549,0.518992849241274,-4.128421621722379
11,5.651354731858252,0.8129200907187817,-4.128421621722379
12,5.538696084239405,0.812225933630975,-4.128421621722379
13,5.467292054444502,0.8200059247752168,-4.128421621722379
14,5.340679126036461,0.8138284106656086,-4.128421621722379
15,5.340679126036461,0.8138284106656086,-4.128421621722379
16,5.340679126036461,0.8138284106656086,-4.128421621722379
17,5.340679126036461,0.8138284106656086,-4.128421621722379
18,1.9497759937417427,0.32026420344237383,-4.128421621722379
19,1.9497759937417427,0.32026420344237383,-4.128421621722379
20,1.9497759937417427,0.32026420344237383,-4.128421621722379
21,1.9497759937417427,0.32026420344237383,-4.128421621722379
22,1.9497759937417427,0.32026420344237383,-4.128421621722379
23,1.9497759937417427,0.32026420344237383,-4.128421621722379
24,1.9540917753287506,0.320827656014782,-4.128421621722379
25,1.9540917753287506,0.320827656014782,-4.128421621722379
26,1.9540917753287506,0.320827656014782,-4.128421621722379
27,1.9540917753287506,0.320827656014782,-4.128421621722379
28,1.9540917753287506,0.320827656014782,-4.128421621722379
29,1.9540917753287506,0.320827656014782,-4.128421621722379
30,1.9540917753287506,0.320827656014782,-4.128421621722379
31,1.9540917753287506,0.320827656014782,-4.128421621722379
32,1.9540917753287506,0.320827656014782,-4.128421621722379
33,1.9540917753287506,0.320827656014782,-4.128421621722379
34,1.9540917753287506,0.320827656014782,-4.128421621722379
35,1.9540917753287506,0.320827656014782,-4.128421621722379
36,1.8652049017291892,0.3212145554321475,-4.128421621722379
37,1.8652049017291892,0.3212145554321475,-4.128421621722379
38,1.8652049017291892,0.3212145554321475,-4.128421621722379
39,1.8652049017291892,0.3212145554321475,-4.128421621722379
40,1.8652049017291892,0.3212145554321475,-4.128421621722379
41,1.8652049017291892,0.3212145554321475,-4.128421621722379
42,1.8652049017291892,0.3212145554321475,-4.128421621722379
43,1.8652049017291892,0.3212145554321475,-4.128421621722379
44,1.8652049017291892,0.3212145554321475,-4.128421621722379
45,1.8652049017291892,0.3212145554321475,-4.128421621722379
46,5.418918705015775,0.9337769565297832,-4.128421621722379
47,3.6018136178345355,0.5150466293975875,-4.128421621722379
48,2.026372457882343,0.3188848259263309,-4.128421621722379
49,2.026372457882343,0.3188848259263309,-4.128421621722379
50,2.026372457882343,0.3188848259263309,-4.128421621722379
