Generacion,Mejor alpha,Mejor delta,Mejor Fitness
1,8.853022492792402,0.006683907426572322,-0.18841120310305418
2,8.853022492792402,0.006683907426572322,-0.18841120310305418
3,8.853022492792402,0.006683907426572322,-0.18841120310305418
4,8.961585415675353,0.007332854810167877,-0.18905533546313075
5,8.961585415675353,0.007332854810167877,-0.18905533546313075
6,8.961585415675353,0.007332854810167877,-0.18905533546313075
7,9.648390062430966,0.011714679113420372,-0.1929781313730098
8,9.648390062430966,0.011714679113420372,-0.1929781313730098
9,9.64353893154863,0.004908508265291683,-0.19320775009645436
10,9.815466920682997,0.005211355633860236,-0.19417398599835367
11,9.96710901507821,0.005841704997170133,-0.19499928980912085
12,9.96710901507821,0.005841704997170133,-0.19499928980912085
13,9.965219011886525,0.005506227572507466,-0.1950003761902165
14,9.965219011886525,0.005506227572507466,-0.1950003761902165
15,9.994195236724748,0.002557273215579959,-0.1952600306888018
16,9.995395522625268,0.000363695951263638,-0.1953385579103674
17,9.995395522625268,0.000363695951263638,-0.1953385579103674
18,9.997998554137409,0.0006252867774705914,-0.19534434674688447
19,9.998615079634543,0.00043650700785229123,-0.19535385451229403
20,9.998735053254386,0.0001577139304639391,-0.19536353733151807
21,9.998962609713605,8.390232765642577e-05,-0.19536716957065772
22,9.999480839989893,9.551421185447929e-05,-0.19536963475227948
23,9.999097546799803,2.79824622498025e-05,-0.19536971467618414
24,9.999639889096123,4.9470227531749124e-05,-0.1953719931637378
25,9.99989501471316,7.777658265286383e-05,-0.1953724773834306
26,9.99989501471316,7.777658265286383e-05,-0.1953724773834306
27,9.999999238753045,9.23210449590372e-05,-0.19537257888211207
28,9.999999238753045,9.23210449590372e-05,-0.19537257888211207
29,9.999998911000292,1.1509839691281013e-06,-0.19537551991757887
30,9.999998028811229,3.4134286946641995e-07,-0.19537554120521708
31,9.999999060251472,5.004686573779012e-07,-0.1953755417230974
32,9.999999060251472,5.004686573779012e-07,-0.1953755417230974
33,9.999999760508967,1.1493056394807642e-07,-0.19537555799876863
34,9.999999627711963,5.120193868225219e-08,-0.19537555932718226
35,9.999999627711963,5.120193868225219e-08,-0.19537555932718226
36,9.999999805720874,2.3183860850958276e-08,-0.19537556120652377
37,9.999999859360008,3.076515279198201e-08,-0.1953755612558445
38,9.999999859360008,3.076515279198201e-08,-0.1953755612558445
39,9.999999960875131,2.991032374004763e-08,-0.19537556183967458
40,9.99999995540186,2.572609622002662e-08,-0.19537556194467845
41,9.999999906900648,3.5975790921353752e-09,-0.19537556239284765
42,9.999999916636307,4.42067691129201e-09,-0.19537556241963797
43,9.999999916636307,4.42067691129201e-09,-0.19537556241963797
44,9.999999970152519,5.198255918047871e-09,-0.19537556268779238
45,9.999999961962171,3.6796833180475644e-09,-0.19537556269190748
46,9.999999961962171,3.6796833180475644e-09,-0.19537556269190748
47,9.999999961962171,3.6796833180475644e-09,-0.19537556269190748
48,9.999999999225931,6.1346380528750735e-09,-0.19537556281688984
49,9.999999999225931,6.1346380528750735e-09,-0.19537556281688984
50,9.999999999225931,6.1346380528750735e-09,-0.19537556281688984
