Generacion,Mejor alpha,Mejor delta,Mejor Fitness
1,8.455602146032836,0.0355585289314404,-0.18442513942048047
2,8.455602146032836,0.0355585289314404,-0.18442513942048047
3,9.37081849369631,0.08862943568522186,-0.18673702659607638
4,9.041771755734251,0.03753620925012227,-0.1880994448682131
5,9.669264721647492,0.03284655278074887,-0.19218429453623556
6,9.751282827208973,0.026957725770604492,-0.19293922245359418
7,9.894498848370727,0.013175038722693988,-0.19432814798603185
8,9.895811660316896,0.01049749459200991,-0.19443532927584561
9,9.895811660316896,0.01049749459200991,-0.19443532927584561
10,9.930072946179033,0.0037386117574003657,-0.1948659581246209
11,9.930072946179033,0.0037386117574003657,-0.1948659581246209
12,9.936489130060584,0.0039988077786904126,-0.19489269748173335
13,9.936489130060584,0.0039988077786904126,-0.19489269748173335
14,9.936489130060584,0.0039988077786904126,-0.19489269748173335
15,9.971955394761773,0.001992464225756044,-0.19515628500258977
16,9.980713478419526,0.0025805475671245174,-0.19518502124707388
17,9.980713478419526,0.0025805475671245174,-0.19518502124707388
18,9.980713478419526,0.0025805475671245174,-0.19518502124707388
19,9.980713478419526,0.0025805475671245174,-0.19518502124707388
20,9.977143380559664,0.001597337334270582,-0.19519792505916872
21,9.977143380559664,0.001597337334270582,-0.19519792505916872
22,9.996977472579525,0.0008801951376292986,-0.1953304514126749
23,9.997329239971167,5.2378009272421866e-05,-0.1953592350668334
24,9.998282153040503,7.916240604383573e-05,-0.19536359312904356
25,9.998757521081403,9.84870609694311e-05,-0.19536557439462743
26,9.999594058290935,0.00012234421108914072,-0.19536938857403321
27,9.999665274941428,8.296897684324556e-05,-0.19537105069029487
28,9.999663570228048,4.228317706995478e-05,-0.19537235494088617
29,9.999663570228048,4.228317706995478e-05,-0.19537235494088617
30,9.999663570228048,4.228317706995478e-05,-0.19537235494088617
31,9.999663570228048,4.228317706995478e-05,-0.19537235494088617
32,9.999833501915726,4.479053026889543e-06,-0.19537450617077667
33,9.999833501915726,4.479053026889543e-06,-0.19537450617077667
34,9.999949172723118,4.1051329803070287e-07,-0.19537527126647553
35,9.999964248142286,2.5686011767260354e-06,-0.19537528424461242
36,9.99998576311443,7.08702258912342e-07,-0.1953754621432523
37,9.99999854382367,4.1019051235235507e-07,-0.1953755418059869
38,9.99999854382367,4.1019051235235507e-07,-0.1953755418059869
39,9.999999669705929,5.437434608424984e-07,-0.1953755436664169
40,9.999999669705929,5.437434608424984e-07,-0.1953755436664169
41,9.999999909999026,3.23102928331358e-07,-0.19537555210163662
42,9.999999945055078,1.0286402383458785e-07,-0.19537555939928827
43,9.999999945055078,1.0286402383458785e-07,-0.19537555939928827
44,9.999999945055078,1.0286402383458785e-07,-0.19537555939928827
45,9.99999995762498,8.309148391858374e-08,-0.195375560106085
46,9.999999987675809,5.0744486948342386e-08,-0.19537556131435704
47,9.999999987675809,5.0744486948342386e-08,-0.19537556131435704
48,9.999999987675809,5.0744486948342386e-08,-0.19537556131435704
49,9.999999987675809,5.0744486948342386e-08,-0.19537556131435704
50,9.999999981287761,2.4441898396712462e-08,-0.19537556212795204
