Generacion,Mejor alpha,Mejor delta,Mejor Fitness
1,0.3560010183508866,0.04976212230021371,-6.84574278505749
2,0.3040921305311242,0.7310855946823422,-6.84574278505749
3,0.411414042773088,0.16993673820682073,-6.84574278505749
4,0.3434157083805457,0.46800441283074046,-6.84574278505749
5,0.2928249715503276,0.11934928263965527,-6.84574278505749
6,0.17288959994133307,0.10455285685856269,-6.84574278505749
7,0.03363518453201453,0.041855583192647094,-6.84574278505749
8,0.03452112105299664,0.03118885692162976,-6.84574278505749
9,0.03910545208567251,0.009374375020612759,-6.84574278505749
10,0.049846305734671525,0.03825631564967141,-6.84574278505749
11,0.053361409998727655,0.02274904909544613,-6.84574278505749
12,0.0033584992849394757,0.003182264620038233,-6.84574278505749
13,3.535584213819939e-05,2.353192571025631e-05,-6.84574278505749
14,1.1566244608587326e-05,1.491036810030158e-05,-6.84574278505749
15,1.6779844670917157e-05,1.6536839950214934e-05,-6.84574278505749
16,1.0758961604692206e-05,6.253222028755305e-06,-6.84574278505749
17,4.338751012695773e-05,2.366366301256086e-05,-6.84574278505749
18,9.792004455952816e-06,8.54316686370672e-06,-6.84574278505749
19,4.989450146862669e-06,2.010266439429965e-06,-6.84574278505749
20,2.529195764661807e-06,9.384219884412086e-07,-6.84574278505749
21,1.5631131774671092e-06,1.694635824802126e-06,-6.84574278505749
22,3.940996720731743e-06,3.5029055749166998e-06,-6.84574278505749
23,1.894092279510095e-06,1.976956374016953e-06,-6.84574278505749
24,1.8050265077693187e-06,1.4820023470658285e-06,-6.84574278505749
25,1.435047300529137e-07,1.4022512971888527e-07,-6.84574278505749
26,4.413307218003871e-07,4.059328106637613e-07,-6.84574278505749
27,2.6424263751778235e-06,8.487864789003175e-07,-6.84574278505749
28,7.317212039009496e-07,7.397199326000578e-07,-6.84574278505749
29,2.7789884650923977e-08,3.155698690512776e-08,-6.84574278505749
30,2.85522777528472e-08,5.851881226425565e-08,-6.84574278505749
31,2.6480120780676943e-08,1.772504088247781e-08,-6.84574278505749
32,4.1382040153006595e-08,3.136680324947384e-08,-6.84574278505749
33,2.5065851284537667e-08,1.3753860377940586e-08,-6.84574278505749
34,2.337324438898225e-10,3.233015967496401e-10,-6.84574278505749
35,4.4866380368005246e-10,3.364402628617967e-10,-6.84574278505749
36,7.24466580966713e-10,5.44602736612568e-10,-6.84574278505749
37,2.4361715430946768e-09,1.3188321002407335e-09,-6.84574278505749
38,3.4612324153762813e-09,2.4524999192842634e-09,-6.84574278505749
39,2.0738359401060115e-09,1.3861690716877719e-09,-6.84574278505749
40,2.5042406785266877e-09,1.8300604511069826e-09,-6.84574278505749
41,4.411070011607857e-09,2.799615564237482e-09,-6.84574278505749
42,7.525378407207906e-10,4.932209433890429e-10,-6.84574278505749
43,8.090157840451713e-10,5.311353304201633e-10,-6.84574278505749
44,2.7507596111886112e-09,1.7722395534580152e-09,-6.84574278505749
45,4.5678519139930557e-10,2.747728212609015e-10,-6.84574278505749
46,4.1807473307684854e-10,2.811562583344252e-10,-6.84574278505749
47,5.365523657462748e-10,3.3978511827798036e-10,-6.84574278505749
48,7.605998369637528e-11,5.504713047936501e-11,-6.84574278505749
49,1.9678083111230837e-12,1.3986608719670192e-12,-6.84574278505749
50,7.612030910150343e-12,4.613649445231522e-12,-6.84574278505749
