Generacion,Mejor alpha,Mejor delta,Mejor Fitness
1,0.5600715648187915,0.3401719889121755,-6.84574278505749
2,0.1284963891795543,0.8338673130095231,-6.84574278505749
3,0.21289351928097755,0.2601329490728039,-6.84574278505749
4,0.03819497145981399,0.07676580971686017,-6.84574278505749
5,0.04758161320784482,0.013486683781163326,-6.84574278505749
6,3.1288510938871916e-05,7.578840371906884e-06,-6.84574278505749
7,4.340106457149437e-05,3.001133901188032e-05,-6.84574278505749
8,4.2728681097871206e-05,6.687281416144034e-05,-6.84574278505749
9,0.00013660218333921888,6.415856064674164e-05,-6.84574278505749
10,9.559287655167985e-05,7.902172547933859e-05,-6.84574278505749
11,3.4718760559922816e-05,3.726129295098001e-05,-6.84574278505749
12,3.4450808253139585e-05,3.10897636512661e-05,-6.84574278505749
13,0.00011422553197557565,0.00018528215055899246,-6.84574278505749
14,0.00011567635271502248,0.0001615197886054059,-6.84574278505749
15,0.00010673926759117073,0.00011550745000003062,-6.84574278505749
16,8.4606637517379e-05,0.00012178622752943047,-6.84574278505749
17,2.4219196498676915e-05,2.0692622153343083e-05,-6.84574278505749
18,5.375851702808357e-05,4.429868942724365e-05,-6.84574278505749
19,8.3576263123374e-05,7.0052220581177e-05,-6.84574278505749
20,0.0001400395222324481,0.00018330026206430877,-6.84574278505749
21,0.00012193027132495733,0.00013223387930090473,-6.84574278505749
22,1.0120621731084996e-05,1.384901526981915e-05,-6.84574278505749
23,4.4344879980261745e-06,5.468866035082131e-06,-6.84574278505749
24,3.854078642413503e-06,4.805878855666665e-06,-6.84574278505749
25,3.764417543445484e-07,6.136138246755118e-07,-6.84574278505749
26,6.1782995169893024e-09,6.265299168825587e-09,-6.84574278505749
27,3.3396706067183027e-10,4.229545563104396e-10,-6.84574278505749
28,1.927505356996602e-09,3.1332157959103925e-09,-6.84574278505749
29,3.83606750831107e-10,4.5225184915491805e-10,-6.84574278505749
30,9.376956236051516e-11,9.833151407825402e-11,-6.84574278505749
31,2.448819195848624e-10,3.6484276263119705e-10,-6.84574278505749
32,1.1880141810681254e-11,1.3750810938669638e-11,-6.84574278505749
33,1.9815871592597164e-11,1.516324815778645e-11,-6.84574278505749
34,1.7143385024714768e-12,1.5869251456656528e-12,-6.84574278505749
35,1.6270256995061834e-12,1.9380785697749304e-12,-6.84574278505749
36,2.963879822153717e-12,2.5478294121194595e-12,-6.84574278505749
37,5.688315375212601e-13,4.71907361154038e-13,-6.84574278505749
38,7.36204374004398e-13,8.382681574663668e-13,-6.84574278505749
39,1.1299381973700609e-13,8.877357036903164e-14,-6.84574278505749
40,1.1360493892828558e-13,1.4752769125573282e-13,-6.84574278505749
41,1.024707920870787e-12,1.149412984361448e-12,-6.84574278505749
42,6.954171937693037e-13,8.289275554336428e-13,-6.84574278505749
43,4.579275198194087e-13,5.247463754927585e-13,-6.84574278505749
44,1.0193573119411117e-12,1.1297744409709485e-12,-6.84574278505749
45,1.2513798526120738e-12,1.4919576573634979e-12,-6.84574278505749
46,3.016313124305006e-12,3.559233217598851e-12,-6.84574278505749
47,2.3194964017747038e-12,1.6576588723116264e-12,-6.84574278505749
48,3.941907476028229e-12,2.4327285793627455e-12,-6.84574278505749
49,2.603830467944688e-12,3.257718707324358e-12,-6.84574278505749
50,4.6385776486488934e-12,5.068030066741057e-12,-6.84574278505749
