Generacion,Mejor alpha,Mejor delta,Mejor Fitness
1,0.13721588888586544,0.6109391466568551,-6.84574278505749
2,0.030357120765112544,0.5215030048452622,-6.84574278505749
3,0.045051696460215784,0.006102564522734354,-6.84574278505749
4,0.0076035467538881595,0.010501372715225367,-6.84574278505749
5,0.02102710064737681,0.007533608893573303,-6.84574278505749
6,0.002155523455356732,0.0020846914496872202,-6.84574278505749
7,0.02079544249854143,0.009587915612505014,-6.84574278505749
8,0.0019164532042532274,0.0008295858646588875,-6.84574278505749
9,0.00499957944673013,0.005550362565664042,-6.84574278505749
10,0.0005389452685704787,0.00033906702496634775,-6.84574278505749
11,0.0007120519087035873,0.00046676300135851164,-6.84574278505749
12,0.0037132998678078765,0.0038431858311053484,-6.84574278505749
13,0.0024080708104949958,0.0023181368597351222,-6.84574278505749
14,0.004234799594471259,0.003032800121896721,-6.84574278505749
15,0.001080200093908014,0.0008520119878528778,-6.84574278505749
16,0.0019153116377559135,0.0016005663447873119,-6.84574278505749
17,0.0027616449283226104,0.0019990135768475368,-6.84574278505749
18,0.0014659855441234585,0.0011161057417482518,-6.84574278505749
19,0.00024370828065873088,0.00018362192606127857,-6.84574278505749
20,1.4819530499315112e-05,9.854692521343809e-06,-6.84574278505749
21,1.6101265932825698e-05,1.2600661219508293e-05,-6.84574278505749
22,1.0475890928748535e-06,1.527394187402047e-06,-6.84574278505749
23,3.1600081387776287e-06,4.317091159470493e-06,-6.84574278505749
24,1.077182418540894e-06,1.8320048400069382e-06,-6.84574278505749
25,1.3123648614318765e-06,9.152248376266125e-07,-6.84574278505749
26,3.6874942071411244e-07,3.08142597218032e-07,-6.84574278505749
27,4.1718714098963173e-07,3.329180837798951e-07,-6.84574278505749
28,2.6315992365903893e-08,1.7212542386216785e-08,-6.84574278505749
29,1.4985310475390433e-08,1.1381829257138008e-08,-6.84574278505749
30,9.417396033783255e-09,6.977781412797663e-09,-6.84574278505749
31,1.0973419212531635e-08,8.06694648143674e-09,-6.84574278505749
32,3.787590724691071e-09,3.0149583972189518e-09,-6.84574278505749
33,4.856285404110387e-10,3.5324328991397806e-10,-6.84574278505749
34,2.996465539889991e-11,2.2991439431594926e-11,-6.84574278505749
35,1.3719715684472475e-11,9.396766921817059e-12,-6.84574278505749
36,5.451549897441541e-12,3.674640519499829e-12,-6.84574278505749
37,3.526520247259141e-12,2.484211045474928e-12,-6.84574278505749
38,2.612561379484063e-12,1.851673559028357e-12,-6.84574278505749
39,1.366672175362496e-12,8.37341228470842e-13,-6.84574278505749
40,1.8617305887442302e-12,1.1276040018726604e-12,-6.84574278505749
41,2.6638844341429665e-12,1.8104565278694717e-12,-6.84574278505749
42,1.261832815749828e-12,8.969860811258532e-13,-6.84574278505749
43,2.0664982468501806e-12,1.409856470823669e-12,-6.84574278505749
44,1.1321081894763603e-13,8.162281756916355e-14,-6.84574278505749
45,1.1321081894763603e-13,8.162281756916355e-14,-6.84574278505749
46,1.1321081894763603e-13,8.162281756916355e-14,-6.84574278505749
47,1.1321081894763603e-13,8.162281756916355e-14,-6.84574278505749
48,1.1321081894763603e-13,8.162281756916355e-14,-6.84574278505749
49,1.1321081894763603e-13,8.162281756916355e-14,-6.84574278505749
50,1.1321081894763603e-13,8.162281756916355e-14,-6.84574278505749
