Generacion,Mejor alpha,Mejor delta,Mejor Fitness
1,0.08425251879469853,0.2635381043531031,-6.84574278505749
2,0.13372269142128856,0.41348008243072,-6.84574278505749
3,0.15526498444398862,0.018591571202445922,-6.84574278505749
4,0.1778481135717274,0.17295378683540508,-6.84574278505749
5,0.000969384305454811,0.000177885095672169,-6.84574278505749
6,0.001962650633607583,0.001906077748652416,-6.84574278505749
7,0.0016043838200767515,0.00040121124912667475,-6.84574278505749
8,0.0003393127770620571,0.00035809732215598953,-6.84574278505749
9,0.0006113905903310785,0.0001532523000279259,-6.84574278505749
10,0.000339686315512105,0.00010941140834529677,-6.84574278505749
11,0.00022229516730268273,5.003713430085414e-05,-6.84574278505749
12,0.0002784473485665481,7.46197356201538e-05,-6.84574278505749
13,2.9922788202618234e-05,2.0669837748005842e-05,-6.84574278505749
14,0.00010868958703566414,4.910118228554223e-05,-6.84574278505749
15,1.7215326961111774e-05,7.92076352938585e-06,-6.84574278505749
16,3.814902542421585e-06,1.4752579159833095e-06,-6.84574278505749
17,2.0282047279780944e-05,7.123863417330674e-06,-6.84574278505749
18,6.2733486326677745e-06,2.8078159665080776e-06,-6.84574278505749
19,5.875276918489975e-06,2.7406206419197358e-06,-6.84574278505749
20,2.133824879724911e-05,6.9878668244119905e-06,-6.84574278505749
21,4.207742154235655e-05,2.112671345441157e-05,-6.84574278505749
22,7.511537923679304e-06,1.8032027683107207e-06,-6.84574278505749
23,1.920316595081289e-06,9.96953683315572e-07,-6.84574278505749
24,2.2073193486450837e-06,1.2952276047012404e-06,-6.84574278505749
25,1.2360075865288219e-05,5.650287416528791e-06,-6.84574278505749
26,1.5214980912268363e-05,8.539274756365016e-06,-6.84574278505749
27,5.841426598250396e-05,3.5638897452459387e-05,-6.84574278505749
28,1.370387799152058e-05,6.171564935317953e-06,-6.84574278505749
29,8.140317502802277e-06,3.923240131469328e-06,-6.84574278505749
30,2.0487067899570171e-07,1.0056549831457272e-07,-6.84574278505749
31,6.965630022347038e-07,3.5805935277085604e-07,-6.84574278505749
32,7.041757785304823e-07,3.9679615283503385e-07,-6.84574278505749
33,5.4587390065131457e-08,2.4149835349280466e-08,-6.84574278505749
34,6.786181041707492e-09,2.874318605541209e-09,-6.84574278505749
35,6.7434085891551385e-09,3.0460926911333743e-09,-6.84574278505749
36,7.432645694739843e-09,3.3092051486371448e-09,-6.84574278505749
37,9.205258671767667e-11,4.2774855571514455e-11,-6.84574278505749
38,1.513470705806043e-10,6.246790191299135e-11,-6.84574278505749
39,1.7161797523452848e-10,9.406001898979779e-11,-6.84574278505749
40,6.388744326463294e-11,3.066788283010987e-11,-6.84574278505749
41,1.492445080951913e-10,6.40936208348319e-11,-6.84574278505749
42,3.002661720912357e-11,1.4822231958276366e-11,-6.84574278505749
43,1.7356218445804267e-11,8.833103432957543e-12,-6.84574278505749
44,2.0672382551014578e-11,1.0582071959428094e-11,-6.84574278505749
45,7.050164527118661e-12,3.9002354063116095e-12,-6.84574278505749
46,4.704756377805826e-12,1.3506040714184786e-12,-6.84574278505749
47,1.8059552380923128e-12,8.031099643551849e-13,-6.84574278505749
48,2.0724692338577084e-12,9.266489439934947e-13,-6.84574278505749
49,3.5927624034676973e-12,1.9828151647364995e-12,-6.84574278505749
50,3.4775466641959932e-12,1.7919730440460204e-12,-6.84574278505749
