Generacion,Mejor alpha,Mejor delta,Mejor Fitness
1,0.3715788919231744,0.24777114906534148,-6.84574278505749
2,0.08420923941917025,0.06909847062340124,-6.84574278505749
3,0.0005985973805898714,0.0005678015215768994,-6.84574278505749
4,0.00029102683794768325,0.000644351190800807,-6.84574278505749
5,0.00029434951933812,0.0002052803951525402,-6.84574278505749
6,0.0007217079354603291,0.00513196639421041,-6.84574278505749
7,0.0003385412876102142,0.004706007000785228,-6.84574278505749
8,1.2424324906698132e-05,1.1902033273310236e-05,-6.84574278505749
9,5.4757147417459415e-05,0.0003014511144038657,-6.84574278505749
10,2.2998803042106837e-05,6.675376972972554e-05,-6.84574278505749
11,1.6542045206489334e-05,3.8616610031625784e-05,-6.84574278505749
12,2.4320937227438542e-05,0.0001294878839326881,-6.84574278505749
13,5.855789970905494e-06,2.6469611203401293e-05,-6.84574278505749
14,3.4535775037895818e-06,1.8260870635957105e-05,-6.84574278505749
15,5.382213185321342e-06,7.057007826739888e-05,-6.84574278505749
16,2.6043877363790622e-05,0.00013115738565150676,-6.84574278505749
17,6.0841362945709595e-05,0.0005709813568806755,-6.84574278505749
18,6.739453997691821e-05,0.0006436416090837163,-6.84574278505749
19,2.3522860415344397e-05,0.00016955180407961684,-6.84574278505749
20,3.149396298258193e-06,1.1166149346558593e-05,-6.84574278505749
21,1.1770818658118105e-06,8.131119815277243e-06,-6.84574278505749
22,6.399413439583358e-09,4.239083555604802e-08,-6.84574278505749
23,2.4500878372134763e-08,2.3008933231453063e-07,-6.84574278505749
24,8.028277870174082e-09,4.2971304631977396e-08,-6.84574278505749
25,2.452655969774895e-09,1.7742209365797258e-08,-6.84574278505749
26,4.241084348230498e-09,3.840513071188324e-08,-6.84574278505749
27,3.966144186499985e-09,2.1189353287135036e-08,-6.84574278505749
28,9.265435268157307e-09,7.217252655749936e-08,-6.84574278505749
29,9.642054195925717e-09,8.282080120703152e-08,-6.84574278505749
30,1.1210597818856903e-08,1.0925809755319913e-07,-6.84574278505749
31,3.699571576980863e-09,2.1721838743763176e-08,-6.84574278505749
32,1.2414913521814251e-08,1.0592047824962725e-07,-6.84574278505749
33,2.4339695082413384e-09,1.469489210656612e-08,-6.84574278505749
34,1.1468871741323244e-08,1.0704533863750082e-07,-6.84574278505749
35,1.4877989468449704e-09,6.515155758234297e-09,-6.84574278505749
36,4.6190360065754016e-09,2.5104530956539353e-08,-6.84574278505749
37,1.7597288545757408e-10,1.1171523283792896e-09,-6.84574278505749
38,1.1734951187194598e-09,5.8990889194789146e-09,-6.84574278505749
39,4.654499411776343e-11,3.272498694152645e-10,-6.84574278505749
40,7.559114294328688e-12,1.1820041898567523e-10,-6.84574278505749
41,1.1228667760628254e-11,7.395626969202013e-11,-6.84574278505749
42,5.29248343029383e-12,4.7713855379147893e-11,-6.84574278505749
43,1.0195730804417248e-12,7.94005312749822e-12,-6.84574278505749
44,1.0195730804417248e-12,7.94005312749822e-12,-6.84574278505749
45,1.0195730804417248e-12,7.94005312749822e-12,-6.84574278505749
46,3.4629993327772433e-13,2.6741172862106653e-12,-6.84574278505749
47,2.3164707667895446e-13,1.8045540182559633e-12,-6.84574278505749
48,2.3164707667895446e-13,1.8045540182559633e-12,-6.84574278505749
49,1.1591687936141418e-13,8.926653583936281e-13,-6.84574278505749
50,1.1591687936141418e-13,8.926653583936281e-13,-6.84574278505749
