Generacion,Mejor alpha,Mejor delta,Mejor Fitness
1,7.046379362248563,0.8814973923972731,7.251227528493251
2,4.049735440091654,0.10455270445767911,7.251227528493251
3,0.6240885089084627,0.0805521427433557,7.251227528493251
4,1.7139562432739726,0.39725125044021625,7.251227528493251
5,4.806457115116452,0.4571228429627257,7.251227528493251
6,3.121672892678629,0.09297339155010514,7.251227528493251
7,0.7629328867922052,0.05439517788111989,7.251227528493251
8,1.0682018085054699,0.09743891436079866,7.251227528493251
9,0.08973297892094412,0.008503345897179021,7.251227528493251
10,0.07222556566922794,0.005467411767033317,7.251227528493251
11,0.11042211458898685,0.013431906784556896,7.251227528493251
12,0.009481074416976987,0.0010711389472832442,7.251227528493251
13,0.006825943505580073,0.0007551898657352135,7.251227528493251
14,0.0014582664753125807,0.000170446885236494,7.251227528493251
15,0.004722126551732747,0.0005216972150287645,7.251227528493251
16,0.0017054934508764527,0.00018934515535340164,7.251227528493251
17,0.0045123416171218116,0.0004949051378305095,7.251227528493251
18,0.019730304239848565,0.0010174386914262171,7.251227528493251
19,0.010872257869262358,0.0004712406130078911,7.251227528493251
20,0.033012258737186134,0.002165036836123951,7.251227528493251
21,0.0020958589649678963,0.00013053331148938589,7.251227528493251
22,0.00716655604070999,0.0005644339013657143,7.251227528493251
23,0.0025553818083211208,0.00024084658240408976,7.251227528493251
24,0.0011901843867855168,0.00011183915200540135,7.251227528493251
25,0.001242209454944737,0.0001426311955723105,7.251227528493251
26,0.0016794140273656722,0.00014394789702558072,7.251227528493251
27,0.008723007584050601,0.0004714149345187803,7.251227528493251
28,0.006003922981016118,0.0003862330930148416,7.251227528493251
29,0.005344931520987041,0.0003734672364748355,7.251227528493251
30,0.002841651962862639,0.00017007451907990922,7.251227528493251
31,0.00017935948795171335,1.03065118257141e-05,7.251227528493251
32,0.0003359296459281623,2.5922491311719038e-05,7.251227528493251
33,0.0003994097843208436,3.2415858707636214e-05,7.251227528493251
34,0.0001612621140019515,1.2091380840831971e-05,7.251227528493251
35,8.978793227253001e-05,3.894702348525532e-06,7.251227528493251
36,1.1212877942258932e-05,8.156037246513563e-07,7.251227528493251
37,6.0295992139431155e-05,5.6863758710873805e-06,7.251227528493251
38,2.2234261605836993e-05,1.865195396641717e-06,7.251227528493251
39,7.038042127316227e-05,4.586891096057157e-06,7.251227528493251
40,6.563159139800329e-05,4.896825393726576e-06,7.251227528493251
41,0.0001257709240511921,8.196156514124382e-06,7.251227528493251
42,2.5941610641004668e-05,2.056760082993109e-06,7.251227528493251
43,2.4413974028407922e-05,1.9512545947622603e-06,7.251227528493251
44,8.25301140751134e-06,7.110063773153438e-07,7.251227528493251
45,1.090820140677232e-06,7.079055589440566e-08,7.251227528493251
46,1.4307573754662482e-06,1.387949421151961e-07,7.251227528493251
47,1.6233054878249846e-06,1.3629422779140326e-07,7.251227528493251
48,2.18624827546281e-06,1.8892585322742038e-07,7.251227528493251
49,2.577137049649438e-06,2.0638692684760462e-07,7.251227528493251
50,4.263336503473928e-06,3.4359440255230085e-07,7.251227528493251
