Generacion,Mejor alpha,Mejor delta,Mejor Fitness
1,9.673344915054757,0.10756912177659816,7.251227528493251
2,1.4897746830467578,0.3754434483321947,7.251227528493251
3,2.7874033431221985,0.3700399078737085,7.251227528493251
4,0.14886798103466803,0.005359140613241109,7.251227528493251
5,0.021394929779352534,0.0004279534209001394,7.251227528493251
6,0.10402762671149879,0.005048304312963825,7.251227528493251
7,0.01846826158711356,0.0035224787859567666,7.251227528493251
8,0.030251309898900347,0.0010380169998701646,7.251227528493251
9,0.0014766984224212285,0.00017138871926771545,7.251227528493251
10,0.0007444573523445394,0.00010113433500072758,7.251227528493251
11,0.0009708037475517073,5.839815510582752e-05,7.251227528493251
12,0.0008126456952743909,2.6406201957557805e-05,7.251227528493251
13,0.00033742137926375784,1.164650277512841e-05,7.251227528493251
14,0.00043549704183665564,2.7742945360169026e-05,7.251227528493251
15,1.8425324244010304e-05,9.080628252554236e-07,7.251227528493251
16,6.343162894991854e-06,3.826168255067905e-07,7.251227528493251
17,1.827882050386627e-05,8.999126484955497e-07,7.251227528493251
18,2.046168649221286e-05,1.0755078715192494e-06,7.251227528493251
19,2.8421275527482744e-05,1.415478776394706e-06,7.251227528493251
20,1.2577703684546903e-05,6.403414902932945e-07,7.251227528493251
21,6.652661681603591e-06,5.301496503375513e-07,7.251227528493251
22,3.898315158504427e-06,1.899648370819747e-07,7.251227528493251
23,5.127931366354385e-06,2.873086095392746e-07,7.251227528493251
24,2.4413039120723904e-07,3.129820903562693e-08,7.251227528493251
25,1.6612205262258117e-07,7.825647239179411e-09,7.251227528493251
26,7.54637401874304e-08,7.396205915533916e-09,7.251227528493251
27,7.909023317081838e-08,3.6096934768278856e-09,7.251227528493251
28,1.0096002717175538e-08,4.4702978411832186e-10,7.251227528493251
29,6.4901060487384665e-09,3.3083078461373614e-10,7.251227528493251
30,1.0527184095774389e-08,6.282544818262064e-10,7.251227528493251
31,8.562863501923089e-09,5.755063491971288e-10,7.251227528493251
32,7.865797055301809e-09,3.983287383793608e-10,7.251227528493251
33,2.250963796170712e-08,1.2960913499188708e-09,7.251227528493251
34,2.3722528547725102e-08,1.0995171634392351e-09,7.251227528493251
35,2.306294456840013e-08,1.1439495353946318e-09,7.251227528493251
36,7.557612985942108e-09,3.7395282091830126e-10,7.251227528493251
37,1.634522783573059e-08,9.064705185906992e-10,7.251227528493251
38,6.620548229261345e-09,2.9289004753079936e-10,7.251227528493251
39,5.46640561984305e-09,2.460763667608303e-10,7.251227528493251
40,2.249329826370618e-08,1.4052061871274384e-09,7.251227528493251
41,1.428879323525025e-08,1.2092798728855679e-09,7.251227528493251
42,2.0620697224548625e-08,9.891276320025667e-10,7.251227528493251
43,1.421104176060024e-08,6.521792186213614e-10,7.251227528493251
44,5.793294820791624e-09,2.9833846831401787e-10,7.251227528493251
45,1.4986807162558442e-09,6.630382521923246e-11,7.251227528493251
46,2.3517504914628083e-09,9.262567104903763e-11,7.251227528493251
47,2.390019380852189e-10,1.9051302889964297e-11,7.251227528493251
48,4.3432321473305285e-10,1.9440971834219103e-11,7.251227528493251
49,1.6287723081412194e-10,8.774851461766172e-12,7.251227528493251
50,3.395404964135926e-11,2.294519531368485e-12,7.251227528493251
