Generacion,Mejor alpha,Mejor delta,Mejor Fitness
1,9.37682607188472,0.017980016096925566,0.09573593696243483
2,9.342845766402538,0.009026656777048558,0.0937927455717094
3,9.593107934546492,0.016631868923355563,0.09302067157218648
4,9.855345566241697,0.016089268423212066,0.0901335025740569
5,9.855345566241697,0.016089268423212066,0.0901335025740569
6,9.855345566241697,0.016089268423212066,0.0901335025740569
7,9.855345566241697,0.016089268423212066,0.0901335025740569
8,9.772238440456736,0.006847255867283353,0.08865552603199202
9,9.927790393082502,0.007287167622277508,0.08718202692225757
10,9.927790393082502,0.007287167622277508,0.08718202692225757
11,9.99947918457085,0.00552109626212082,0.08604430630617059
12,9.998885090356582,3.529713932113113e-05,0.08477208187214809
13,9.999434867345661,4.445589854014124e-05,0.08476877804490353
14,9.99937319276837,1.605627506178216e-05,0.08476291842375058
15,9.99937319276837,1.605627506178216e-05,0.08476291842375058
16,9.999506555730173,1.51701176358705e-05,0.08476140969672043
17,9.999565090878987,1.6477573515296697e-05,0.0847611335745485
18,9.999565090878987,1.6477573515296697e-05,0.0847611335745485
19,9.999565090878987,1.6477573515296697e-05,0.0847611335745485
20,9.999565090878987,1.6477573515296697e-05,0.0847611335745485
21,9.999484853807324,8.690450064191403e-06,0.0847601477753354
22,9.99982107596885,5.955223346370564e-06,0.08475623028735586
23,9.999809287245801,5.329699466137705e-06,0.08475620347185671
24,9.999809287245801,5.329699466137705e-06,0.08475620347185671
25,9.999852637019986,4.2717888724019466e-06,0.08475553791562969
26,9.999887630417623,4.468626272047258e-06,0.08475523978006047
27,9.999977442235316,3.449994900391488e-06,0.08475412786237303
28,9.999960621899191,1.0760631655043703e-06,0.08475375250469404
29,9.99996753893452,1.2744448015863994e-06,0.08475372986231955
30,9.999972930382839,1.0669548107457129e-06,0.08475362981460696
31,9.99998548658559,1.5148713044535256e-06,0.08475360869257392
32,9.999981238615606,1.2137453951134954e-06,0.0847535817998312
33,9.999968563222659,2.1488657352181374e-07,0.08475347872481657
34,9.999996470111606,3.584679468737882e-07,0.08475323792265137
35,9.99999926545814,4.7195546240054484e-07,0.08475323635342166
36,9.99999926545814,4.7195546240054484e-07,0.08475323635342166
37,9.999998578847052,8.79939189501409e-08,0.08475315571280877
38,9.999999486640737,1.1271746093462452e-07,0.08475315244265559
39,9.999999486640737,1.1271746093462452e-07,0.08475315244265559
40,9.999999486640737,1.1271746093462452e-07,0.08475315244265559
41,9.999999447922105,8.530205576925372e-08,0.08475314658381262
42,9.999999447922105,8.530205576925372e-08,0.08475314658381262
43,9.999999447922105,8.530205576925372e-08,0.08475314658381262
44,9.999999447922105,8.530205576925372e-08,0.08475314658381262
45,9.999999253694112,5.5291712558768925e-08,0.08475314165841251
46,9.999999200282371,5.035715071130205e-08,0.08475314105897994
47,9.999999430472869,5.755226196872096e-09,0.08475312865425357
48,9.999999542394876,6.072590046974367e-09,0.08475312762969242
49,9.999999542394876,6.072590046974367e-09,0.08475312762969242
50,9.999999646902399,2.5308123372176857e-09,0.08475312579965788
