Indicador,x1,x2,Fitness
Mejor,1.5928609394000364e-10,9.984733469239458e-12,7.251227528493251
Media,3.6895745922832847e-10,2.0374849667680336e-11,7.251227528493252
Peor,1.5928609394000364e-10,9.984733469239458e-12,7.251227528493251
Desv. estándar,,,8.881784197001252e-16
