Indicador,alpha,delta,Fitness
Mejor (Fitness),5.439286982348402e-11,3.219896061535571e-12,7.251227528493251
Peor (Fitness),5.439286982348402e-11,3.219896061535571e-12,7.251227528493251
Media,2.0000086114673503,0.2000006251203641,7.251227528493251
Desv. Estándar,3.999995691112954,0.39999968732537416,0.0
